,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,1290,2845,0,3082,0,0,1996,169,953,376,130,0
1,0,1574,1219,0,4924,0,0,1033,0,181,103,39,0
2,0,712,4096,0,3735,0,0,428,0,26,70,30,0
3,0,352,1958,0,374,0,0,49,0,0,0,0,0
4,0,301,1553,0,9017,0,0,1280,944,248,263,54,0
5,0,153,1642,0,1182,0,0,222,0,35,233,33,0
6,0,205,2182,0,1401,0,0,217,0,2,131,9,0
7,0,1453,1208,0,11851,0,0,3624,3237,1557,218,35,0
8,0,97,31,0,683,0,0,744,4463,854,539,224,0
9,0,1682,822,0,661,0,0,340,0,2681,534,134,0
10,0,77,96,0,163,0,0,664,1218,411,293,112,0
11,0,0,0,0,0,0,0,8,15,2466,674,135,0
12,0,168,300,0,135,0,0,111,2,70,246,217,0
